ラベル,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁死,犠打,犠飛,四球,死球,三振,併殺打,長打率,出塁率
0,0.344,137,576,488,96,168,28,3,23,271,75,13,3,1,6,83,0,67,6,0.555,0.433
1,0.335,129,528,466,76,156,26,8,29,285,95,16,11,3,3,54,3,79,10,0.612,0.404
2,0.322,133,561,469,89,151,28,4,44,319,110,0,1,0,2,88,3,105,6,0.68,0.43
3,0.315,141,640,574,92,181,22,3,13,248,56,13,5,23,3,40,0,106,3,0.432,0.358
4,0.311,131,523,453,52,141,25,3,11,205,59,0,1,0,6,66,3,78,6,0.453,0.392
5,0.304,133,590,481,102,146,26,3,38,292,102,30,2,0,4,97,8,101,16,0.607,0.425
6,0.302,143,576,529,58,160,32,0,25,267,81,1,3,2,2,38,5,83,21,0.505,0.354
7,0.302,103,458,420,48,127,22,1,1,154,32,3,0,1,2,34,1,31,13,0.367,0.354
8,0.3,132,513,454,66,136,23,2,19,220,101,0,1,0,4,55,1,101,12,0.485,0.372
9,0.295,141,607,526,74,155,14,5,0,179,39,7,4,5,5,63,8,66,5,0.34,0.375
10,0.294,141,566,534,38,157,19,2,1,183,38,2,3,5,3,22,2,98,13,0.343,0.323
11,0.292,143,656,599,80,175,27,9,3,229,27,26,12,4,1,47,6,69,3,0.382,0.348
12,0.291,143,652,557,98,162,30,8,20,268,90,23,9,1,3,85,7,107,9,0.481,0.389
13,0.284,133,522,462,80,131,23,2,11,191,49,19,11,8,0,38,14,93,5,0.413,0.356
14,0.283,143,618,576,58,163,28,4,11,232,42,8,2,1,3,33,5,78,7,0.403,0.326
15,0.275,134,530,494,48,136,23,5,8,193,65,5,4,2,3,28,4,109,8,0.391,0.316
16,0.274,119,471,416,63,114,22,0,22,202,68,1,0,0,3,44,8,68,13,0.486,0.352
17,0.273,107,450,396,69,108,20,4,18,190,56,26,7,1,0,49,4,110,2,0.48,0.359
18,0.269,132,537,457,64,123,20,0,31,236,96,0,1,0,5,74,3,116,19,0.516,0.369
19,0.265,143,679,581,102,154,17,3,13,216,39,28,19,3,1,78,17,119,1,0.372,0.367
20,0.263,123,518,483,66,127,27,1,34,258,95,0,0,0,7,24,4,75,12,0.534,0.299
21,0.258,123,465,422,48,109,22,1,24,205,68,0,1,0,0,39,4,106,10,0.486,0.327
22,0.255,139,554,498,58,127,20,0,22,213,79,2,1,0,3,51,5,130,13,0.428,0.325
23,0.254,131,507,456,38,116,25,3,6,165,46,1,1,20,2,27,2,69,14,0.362,0.298
24,0.248,118,494,416,61,103,24,1,14,171,73,4,2,0,4,73,2,89,5,0.411,0.358
25,0.236,143,533,449,49,106,16,1,7,145,36,13,3,1,6,75,2,80,12,0.323,0.344
26,0.204,129,458,398,27,81,12,1,4,107,35,2,1,19,1,41,4,76,10,0.269,0.276
27,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,
